pais,media_PIB_total_(dolar_corrente),media_população_total,media_PIB_per_capita,media_taxa_crescimento_PIB,media_taxa_inflação_(CPI),media_expectativa_vida,media_taxa_alfabetização,media_exportacao_abs,media_importacao_abs,media_IDH_estimado,soma_qtde_kg,soma_valor_dolar_ajustado,vl_distinto_produto_texto,vl_distinto_ano
Ira,318599028562.8761,86208893.8,3649.320917575877,3.102504610240353,36.01079869720686,74.4751,85.29199981689455,7298262440196.803,7528713834716.815,0.7510829603537481,8839,11374.008915868535,3,5
Iraque,46582817204.30108,15459922.461538462,3007.9678203944154,0.9835349944440513,4.61194286682018,59.638461538461534,95.0,1095396443341.604,1557955086848.6353,0.0,29397,183391.92270254486,3,7
Irlanda,351455331481.9415,4763064.6875,72402.72419804399,3.7301648630475275,2.2491061906197523,81.37088414634147,95.0,42164630841407.875,33333741727852.66,0.0,7700049,23991384.560529504,4,18
Islandia,22578481250.288223,355271.5,63621.81203208215,-0.6720115221033673,2.5189233332561827,82.7981707317073,95.0,909385704743.0682,866864140574.9751,0.0,25050,73490.17697377907,2,3
Israel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48370,169080.81418000627,1,4
Italia,1882357044539.5107,58797108.80555555,31891.525893360376,0.7080469990530427,3.131641791220235,81.31569105691057,98.20833333333333,52054432362605.34,50621208369574.34,0.9105224320969454,1535734,5783905.63135017,4,33
Iugoslavia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950,3264.752364130435,1,1
Jamaica,7043581031.001839,2514429.0,2797.683572900736,0.4730849119258176,23.488601782477712,71.3968,95.0,330061266453.82385,371565686256.36304,0.0,133565,446514.40765822923,2,4
Japao,4101349690110.222,124666960.06299213,32507.975387227292,1.6356835146918054,1.4559225175077446,81.12969464182831,95.0,58502805141777.41,57075290803862.98,0.0,100813550,320902907.938162,4,50
Jersei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,71.16551473263004,1,1
Jordania,38461861583.164825,9572287.5,3794.764864745853,1.0991759225908968,0.9984254646869841,74.944,90.69287490844725,1167641833603.7434,1844699714236.493,0.7430214746938808,618,1471.5595610925172,3,4
Kuwait,93395043098.8078,3170950.5384615385,25003.020950657807,-0.9477244677809001,3.175518096529369,77.00709943714823,85.38461538461539,5543838352931.375,3061540991549.5386,0.8387305628766205,752678,2498303.0401397278,2,12
Letonia,33905560175.50875,1928824.375,17693.470687659727,0.6961323350161568,5.374117486144279,74.8685975609756,99.95874977111815,2226461865378.0083,2293540020572.55,0.8410012447350587,33087,133076.55073404917,3,6
