produto_texto,qtde_kg,PIB_total_(dolar_corrente),população_total,PIB_per_capita,taxa_crescimento_PIB,taxa_inflação_(CPI),expectativa_vida,taxa_alfabetização,exportacao_abs,importacao_abs,IDH_estimado,pais_cat,valor_dolar_ajustado,qtde_lag1,valor_ajustado_lag1,PIB_lag1,exportacao_abs_lag1,importacao_Abs_lag1,taxa_inflação_(CPI)_lag1
Uvas frescas,14400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,40644.85693251534,49088.0,156201.48641121495,0.0,0.0,0.0,0.0
Vinhos de mesa,504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1347.1306748466259,43.0,600.0157196261682,0.0,0.0,0.0,0.0
Suco de uva,454740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1587968.6569087638,227370.0,797008.6945766872,0.0,0.0,0.0,0.0
Uvas frescas,173400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,422915.2838535415,14400.0,40644.85693251534,0.0,0.0,0.0,0.0
Suco de uva,367290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1213258.6979094078,454740.0,1587968.6569087638,0.0,0.0,0.0,0.0
Uvas frescas,778979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1495522.3266027875,173400.0,422915.2838535415,0.0,0.0,0.0,0.0
Vinhos de mesa,9900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,28454.25191637631,504.0,1347.1306748466259,0.0,0.0,0.0,0.0
Espumantes,2816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,10418.513258046303,0.0,0.0,0.0,0.0,0.0,0.0
Suco de uva,507210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1460361.338402033,367290.0,1213258.6979094078,0.0,0.0,0.0,0.0
Uvas frescas,966420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1759766.949943535,778979.0,1495522.3266027875,0.0,0.0,0.0,0.0
